seller_id,current_period,quality_inputs,fraud_inputs,profitability_inputs,operational_inputs,concentration_inputs
S00361,2026-02,"{""cancellation_rate"": 0.045455, ""on_time_rate"": 0.363636, ""refund_rate"": 0.136364, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.227273, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 2.735671, ""margin_rate"": 0.025815, ""promo_dependency_rate"": 0.034395}","{""avg_delay_days"": 1.727273, ""cancellation_rate"": 0.045455, ""delayed_order_rate"": 0.181818}","{""gmv_rank_percentile"": 0.295833, ""gmv_share"": 0.000205, ""order_share"": 0.000338, ""top_decile_volume"": 0.0}"
S00362,2026-02,"{""cancellation_rate"": 0.0, ""on_time_rate"": 0.142857, ""refund_rate"": 0.285714, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.285714, ""dispute_rate"": 0.142857, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -2.196264, ""margin_rate"": -0.033447, ""promo_dependency_rate"": 0.092549}","{""avg_delay_days"": 2.142857, ""cancellation_rate"": 0.0, ""delayed_order_rate"": 0.285714}","{""gmv_rank_percentile"": 0.025833, ""gmv_share"": 4e-05, ""order_share"": 0.000108, ""top_decile_volume"": 0.0}"
S00363,2026-02,"{""cancellation_rate"": 0.076923, ""on_time_rate"": 0.230769, ""refund_rate"": 0.115385, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.192308, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.999185, ""margin_rate"": 0.045482, ""promo_dependency_rate"": 0.016292}","{""avg_delay_days"": 1.807692, ""cancellation_rate"": 0.076923, ""delayed_order_rate"": 0.192308}","{""gmv_rank_percentile"": 0.36, ""gmv_share"": 0.000252, ""order_share"": 0.0004, ""top_decile_volume"": 0.0}"
S00364,2026-02,"{""cancellation_rate"": 0.152603, ""on_time_rate"": 0.0, ""refund_rate"": 0.235189, ""repeat_buyer_rate"": 0.157989}","{""chargeback_rate"": 0.048474, ""dispute_rate"": 0.168761, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -2.967843, ""margin_rate"": -0.013655, ""promo_dependency_rate"": 0.037885}","{""avg_delay_days"": 3.667864, ""cancellation_rate"": 0.152603, ""delayed_order_rate"": 0.847397}","{""gmv_rank_percentile"": 0.995, ""gmv_share"": 0.010662, ""order_share"": 0.008567, ""top_decile_volume"": 1.0}"
S00365,2026-02,"{""cancellation_rate"": 0.152344, ""on_time_rate"": 0.0, ""refund_rate"": 0.265625, ""repeat_buyer_rate"": 0.058594}","{""chargeback_rate"": 0.011719, ""dispute_rate"": 0.167969, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 0.754964, ""margin_rate"": 0.003432, ""promo_dependency_rate"": 0.030819}","{""avg_delay_days"": 3.582031, ""cancellation_rate"": 0.152344, ""delayed_order_rate"": 0.847656}","{""gmv_rank_percentile"": 0.98, ""gmv_share"": 0.004959, ""order_share"": 0.003937, ""top_decile_volume"": 1.0}"
S00366,2026-02,"{""cancellation_rate"": 0.1, ""on_time_rate"": 0.3, ""refund_rate"": 0.05, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.2, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.037963, ""margin_rate"": 0.027996, ""promo_dependency_rate"": 0.042925}","{""avg_delay_days"": 1.45, ""cancellation_rate"": 0.1, ""delayed_order_rate"": 0.05}","{""gmv_rank_percentile"": 0.266667, ""gmv_share"": 0.000191, ""order_share"": 0.000308, ""top_decile_volume"": 0.0}"
S00367,2026-02,"{""cancellation_rate"": 0.214286, ""on_time_rate"": 0.107143, ""refund_rate"": 0.285714, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.214286, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -0.422674, ""margin_rate"": -0.00393, ""promo_dependency_rate"": 0.053346}","{""avg_delay_days"": 1.785714, ""cancellation_rate"": 0.214286, ""delayed_order_rate"": 0.321429}","{""gmv_rank_percentile"": 0.376667, ""gmv_share"": 0.000265, ""order_share"": 0.000431, ""top_decile_volume"": 0.0}"
S00368,2026-02,"{""cancellation_rate"": 0.206897, ""on_time_rate"": 0.206897, ""refund_rate"": 0.206897, ""repeat_buyer_rate"": 0.068966}","{""chargeback_rate"": 0.034483, ""dispute_rate"": 0.137931, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.453229, ""margin_rate"": 0.017913, ""promo_dependency_rate"": 0.05119}","{""avg_delay_days"": 1.551724, ""cancellation_rate"": 0.206897, ""delayed_order_rate"": 0.172414}","{""gmv_rank_percentile"": 0.604167, ""gmv_share"": 0.000492, ""order_share"": 0.000446, ""top_decile_volume"": 0.0}"
S00369,2026-02,"{""cancellation_rate"": 0.121212, ""on_time_rate"": 0.0, ""refund_rate"": 0.272727, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.121212, ""dispute_rate"": 0.393939, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.266718, ""margin_rate"": 0.053457, ""promo_dependency_rate"": 0.022336}","{""avg_delay_days"": 4.757576, ""cancellation_rate"": 0.121212, ""delayed_order_rate"": 0.878788}","{""gmv_rank_percentile"": 0.333333, ""gmv_share"": 0.000232, ""order_share"": 0.000508, ""top_decile_volume"": 0.0}"
S00370,2026-02,"{""cancellation_rate"": 0.217391, ""on_time_rate"": 0.0, ""refund_rate"": 0.26087, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.043478, ""dispute_rate"": 0.304348, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 1.327475, ""margin_rate"": 0.032345, ""promo_dependency_rate"": 0.039981}","{""avg_delay_days"": 3.565217, ""cancellation_rate"": 0.217391, ""delayed_order_rate"": 0.782609}","{""gmv_rank_percentile"": 0.0825, ""gmv_share"": 8.3e-05, ""order_share"": 0.000354, ""top_decile_volume"": 0.0}"
S00371,2026-02,"{""cancellation_rate"": 0.0, ""on_time_rate"": 0.25, ""refund_rate"": 0.0, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.25, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -0.413357, ""margin_rate"": -0.008405, ""promo_dependency_rate"": 0.054547}","{""avg_delay_days"": 2.0, ""cancellation_rate"": 0.0, ""delayed_order_rate"": 0.25}","{""gmv_rank_percentile"": 0.0075, ""gmv_share"": 1.7e-05, ""order_share"": 6.2e-05, ""top_decile_volume"": 0.0}"
S00372,2026-02,"{""cancellation_rate"": 0.0, ""on_time_rate"": 0.291667, ""refund_rate"": 0.291667, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.083333, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 2.889542, ""margin_rate"": 0.038252, ""promo_dependency_rate"": 0.019123}","{""avg_delay_days"": 1.875, ""cancellation_rate"": 0.0, ""delayed_order_rate"": 0.166667}","{""gmv_rank_percentile"": 0.210833, ""gmv_share"": 0.00016, ""order_share"": 0.000369, ""top_decile_volume"": 0.0}"
S00373,2026-02,"{""cancellation_rate"": 0.129032, ""on_time_rate"": 0.0, ""refund_rate"": 0.129032, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.096774, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 2.992114, ""margin_rate"": 0.023564, ""promo_dependency_rate"": 0.04164}","{""avg_delay_days"": 2.354839, ""cancellation_rate"": 0.129032, ""delayed_order_rate"": 0.483871}","{""gmv_rank_percentile"": 0.475, ""gmv_share"": 0.000347, ""order_share"": 0.000477, ""top_decile_volume"": 0.0}"
S00374,2026-02,"{""cancellation_rate"": 0.034483, ""on_time_rate"": 0.103448, ""refund_rate"": 0.241379, ""repeat_buyer_rate"": 0.034483}","{""chargeback_rate"": 0.137931, ""dispute_rate"": 0.172414, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.268967, ""margin_rate"": 0.027072, ""promo_dependency_rate"": 0.038887}","{""avg_delay_days"": 2.137931, ""cancellation_rate"": 0.034483, ""delayed_order_rate"": 0.310345}","{""gmv_rank_percentile"": 0.524167, ""gmv_share"": 0.000403, ""order_share"": 0.000446, ""top_decile_volume"": 0.0}"
S00375,2026-02,"{""cancellation_rate"": 0.136364, ""on_time_rate"": 0.045455, ""refund_rate"": 0.409091, ""repeat_buyer_rate"": 0.045455}","{""chargeback_rate"": 0.045455, ""dispute_rate"": 0.090909, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 7.841134, ""margin_rate"": 0.068948, ""promo_dependency_rate"": 0.017738}","{""avg_delay_days"": 2.090909, ""cancellation_rate"": 0.136364, ""delayed_order_rate"": 0.318182}","{""gmv_rank_percentile"": 0.316667, ""gmv_share"": 0.00022, ""order_share"": 0.000338, ""top_decile_volume"": 0.0}"
S00376,2026-02,"{""cancellation_rate"": 0.111111, ""on_time_rate"": 0.044444, ""refund_rate"": 0.177778, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.044444, ""dispute_rate"": 0.155556, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 23.564101, ""margin_rate"": 0.050067, ""promo_dependency_rate"": 0.039353}","{""avg_delay_days"": 2.2, ""cancellation_rate"": 0.111111, ""delayed_order_rate"": 0.422222}","{""gmv_rank_percentile"": 0.9175, ""gmv_share"": 0.001865, ""order_share"": 0.000692, ""top_decile_volume"": 1.0}"
S00377,2026-02,"{""cancellation_rate"": 0.113402, ""on_time_rate"": 0.134021, ""refund_rate"": 0.154639, ""repeat_buyer_rate"": 0.051546}","{""chargeback_rate"": 0.092784, ""dispute_rate"": 0.103093, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 0.692838, ""margin_rate"": 0.00697, ""promo_dependency_rate"": 0.036753}","{""avg_delay_days"": 2.010309, ""cancellation_rate"": 0.113402, ""delayed_order_rate"": 0.340206}","{""gmv_rank_percentile"": 0.788333, ""gmv_share"": 0.000849, ""order_share"": 0.001492, ""top_decile_volume"": 0.0}"
S00378,2026-02,"{""cancellation_rate"": 0.102041, ""on_time_rate"": 0.204082, ""refund_rate"": 0.122449, ""repeat_buyer_rate"": 0.020408}","{""chargeback_rate"": 0.122449, ""dispute_rate"": 0.122449, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 24.834511, ""margin_rate"": 0.050426, ""promo_dependency_rate"": 0.032437}","{""avg_delay_days"": 1.836735, ""cancellation_rate"": 0.102041, ""delayed_order_rate"": 0.265306}","{""gmv_rank_percentile"": 0.925, ""gmv_share"": 0.002125, ""order_share"": 0.000754, ""top_decile_volume"": 1.0}"
S00379,2026-02,"{""cancellation_rate"": 0.135802, ""on_time_rate"": 0.0, ""refund_rate"": 0.228395, ""repeat_buyer_rate"": 0.074074}","{""chargeback_rate"": 0.049383, ""dispute_rate"": 0.123457, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 6.745748, ""margin_rate"": 0.014137, ""promo_dependency_rate"": 0.042622}","{""avg_delay_days"": 3.820988, ""cancellation_rate"": 0.135802, ""delayed_order_rate"": 0.864198}","{""gmv_rank_percentile"": 0.988333, ""gmv_share"": 0.006808, ""order_share"": 0.002492, ""top_decile_volume"": 1.0}"
S00380,2026-02,"{""cancellation_rate"": 0.069652, ""on_time_rate"": 0.363184, ""refund_rate"": 0.179104, ""repeat_buyer_rate"": 0.044776}","{""chargeback_rate"": 0.0199, ""dispute_rate"": 0.159204, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 1.652889, ""margin_rate"": 0.009188, ""promo_dependency_rate"": 0.033923}","{""avg_delay_days"": 1.631841, ""cancellation_rate"": 0.069652, ""delayed_order_rate"": 0.169154}","{""gmv_rank_percentile"": 0.955833, ""gmv_share"": 0.003185, ""order_share"": 0.003091, ""top_decile_volume"": 1.0}"
S00381,2026-02,"{""cancellation_rate"": 0.046512, ""on_time_rate"": 0.534884, ""refund_rate"": 0.209302, ""repeat_buyer_rate"": 0.023256}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.116279, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 6.649968, ""margin_rate"": 0.035468, ""promo_dependency_rate"": 0.046073}","{""avg_delay_days"": 1.27907, ""cancellation_rate"": 0.046512, ""delayed_order_rate"": 0.0}","{""gmv_rank_percentile"": 0.739167, ""gmv_share"": 0.00071, ""order_share"": 0.000661, ""top_decile_volume"": 0.0}"
S00382,2026-02,"{""cancellation_rate"": 0.103448, ""on_time_rate"": 0.172414, ""refund_rate"": 0.068966, ""repeat_buyer_rate"": 0.034483}","{""chargeback_rate"": 0.137931, ""dispute_rate"": 0.0, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 2.737367, ""margin_rate"": 0.03149, ""promo_dependency_rate"": 0.030933}","{""avg_delay_days"": 1.965517, ""cancellation_rate"": 0.103448, ""delayed_order_rate"": 0.344828}","{""gmv_rank_percentile"": 0.320833, ""gmv_share"": 0.000222, ""order_share"": 0.000446, ""top_decile_volume"": 0.0}"
S00383,2026-02,"{""cancellation_rate"": 0.05, ""on_time_rate"": 0.1, ""refund_rate"": 0.25, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.15, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 1.904575, ""margin_rate"": 0.019444, ""promo_dependency_rate"": 0.027202}","{""avg_delay_days"": 2.45, ""cancellation_rate"": 0.05, ""delayed_order_rate"": 0.55}","{""gmv_rank_percentile"": 0.239167, ""gmv_share"": 0.000173, ""order_share"": 0.000308, ""top_decile_volume"": 0.0}"
S00384,2026-02,"{""cancellation_rate"": 0.076923, ""on_time_rate"": 0.384615, ""refund_rate"": 0.115385, ""repeat_buyer_rate"": 0.038462}","{""chargeback_rate"": 0.038462, ""dispute_rate"": 0.192308, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 11.883961, ""margin_rate"": 0.069449, ""promo_dependency_rate"": 0.01777}","{""avg_delay_days"": 1.576923, ""cancellation_rate"": 0.076923, ""delayed_order_rate"": 0.115385}","{""gmv_rank_percentile"": 0.515, ""gmv_share"": 0.000392, ""order_share"": 0.0004, ""top_decile_volume"": 0.0}"
S00385,2026-02,"{""cancellation_rate"": 0.131148, ""on_time_rate"": 0.377049, ""refund_rate"": 0.131148, ""repeat_buyer_rate"": 0.016393}","{""chargeback_rate"": 0.032787, ""dispute_rate"": 0.147541, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 1.904548, ""margin_rate"": 0.026178, ""promo_dependency_rate"": 0.040865}","{""avg_delay_days"": 1.442623, ""cancellation_rate"": 0.131148, ""delayed_order_rate"": 0.098361}","{""gmv_rank_percentile"": 0.513333, ""gmv_share"": 0.000391, ""order_share"": 0.000938, ""top_decile_volume"": 0.0}"
S00386,2026-02,"{""cancellation_rate"": 0.113821, ""on_time_rate"": 0.056911, ""refund_rate"": 0.162602, ""repeat_buyer_rate"": 0.04065}","{""chargeback_rate"": 0.113821, ""dispute_rate"": 0.203252, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 10.779629, ""margin_rate"": 0.028467, ""promo_dependency_rate"": 0.026582}","{""avg_delay_days"": 2.138211, ""cancellation_rate"": 0.113821, ""delayed_order_rate"": 0.382114}","{""gmv_rank_percentile"": 0.965, ""gmv_share"": 0.004102, ""order_share"": 0.001892, ""top_decile_volume"": 1.0}"
S00387,2026-02,"{""cancellation_rate"": 0.065217, ""on_time_rate"": 0.369565, ""refund_rate"": 0.130435, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.065217, ""dispute_rate"": 0.195652, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 18.840789, ""margin_rate"": 0.045517, ""promo_dependency_rate"": 0.034427}","{""avg_delay_days"": 1.586957, ""cancellation_rate"": 0.065217, ""delayed_order_rate"": 0.108696}","{""gmv_rank_percentile"": 0.900833, ""gmv_share"": 0.001677, ""order_share"": 0.000707, ""top_decile_volume"": 1.0}"
S00388,2026-02,"{""cancellation_rate"": 0.044444, ""on_time_rate"": 0.044444, ""refund_rate"": 0.244444, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.044444, ""dispute_rate"": 0.133333, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 3.668938, ""margin_rate"": 0.031698, ""promo_dependency_rate"": 0.037062}","{""avg_delay_days"": 2.488889, ""cancellation_rate"": 0.044444, ""delayed_order_rate"": 0.555556}","{""gmv_rank_percentile"": 0.575833, ""gmv_share"": 0.000459, ""order_share"": 0.000692, ""top_decile_volume"": 0.0}"
S00389,2026-02,"{""cancellation_rate"": 0.043478, ""on_time_rate"": 0.173913, ""refund_rate"": 0.217391, ""repeat_buyer_rate"": 0.043478}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.173913, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.882019, ""margin_rate"": 0.025007, ""promo_dependency_rate"": 0.034214}","{""avg_delay_days"": 2.130435, ""cancellation_rate"": 0.043478, ""delayed_order_rate"": 0.347826}","{""gmv_rank_percentile"": 0.518333, ""gmv_share"": 0.000395, ""order_share"": 0.000354, ""top_decile_volume"": 0.0}"
S00390,2026-02,"{""cancellation_rate"": 0.080645, ""on_time_rate"": 0.096774, ""refund_rate"": 0.145161, ""repeat_buyer_rate"": 0.048387}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.064516, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 0.588137, ""margin_rate"": 0.004113, ""promo_dependency_rate"": 0.050227}","{""avg_delay_days"": 2.048387, ""cancellation_rate"": 0.080645, ""delayed_order_rate"": 0.290323}","{""gmv_rank_percentile"": 0.7675, ""gmv_share"": 0.000781, ""order_share"": 0.000954, ""top_decile_volume"": 0.0}"
S00391,2026-02,"{""cancellation_rate"": 0.121212, ""on_time_rate"": 0.0, ""refund_rate"": 0.242424, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.030303, ""dispute_rate"": 0.212121, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": -1.378079, ""margin_rate"": -0.006973, ""promo_dependency_rate"": 0.053139}","{""avg_delay_days"": 4.212121, ""cancellation_rate"": 0.121212, ""delayed_order_rate"": 0.878788}","{""gmv_rank_percentile"": 0.671667, ""gmv_share"": 0.000574, ""order_share"": 0.000508, ""top_decile_volume"": 0.0}"
S00392,2026-02,"{""cancellation_rate"": 0.107438, ""on_time_rate"": 0.165289, ""refund_rate"": 0.198347, ""repeat_buyer_rate"": 0.041322}","{""chargeback_rate"": 0.024793, ""dispute_rate"": 0.123967, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 18.510429, ""margin_rate"": 0.043944, ""promo_dependency_rate"": 0.028088}","{""avg_delay_days"": 2.008264, ""cancellation_rate"": 0.107438, ""delayed_order_rate"": 0.347107}","{""gmv_rank_percentile"": 0.97, ""gmv_share"": 0.004489, ""order_share"": 0.001861, ""top_decile_volume"": 1.0}"
S00393,2026-02,"{""cancellation_rate"": 0.2, ""on_time_rate"": 0.133333, ""refund_rate"": 0.266667, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.2, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 38.22596, ""margin_rate"": 0.084518, ""promo_dependency_rate"": 0.007688}","{""avg_delay_days"": 1.666667, ""cancellation_rate"": 0.2, ""delayed_order_rate"": 0.2}","{""gmv_rank_percentile"": 0.684167, ""gmv_share"": 0.000597, ""order_share"": 0.000231, ""top_decile_volume"": 0.0}"
S00394,2026-02,"{""cancellation_rate"": 0.037037, ""on_time_rate"": 0.333333, ""refund_rate"": 0.111111, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.111111, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 21.848336, ""margin_rate"": 0.042695, ""promo_dependency_rate"": 0.040416}","{""avg_delay_days"": 1.740741, ""cancellation_rate"": 0.037037, ""delayed_order_rate"": 0.148148}","{""gmv_rank_percentile"": 0.853333, ""gmv_share"": 0.001217, ""order_share"": 0.000415, ""top_decile_volume"": 0.0}"
S00395,2026-02,"{""cancellation_rate"": 0.228571, ""on_time_rate"": 0.0, ""refund_rate"": 0.257143, ""repeat_buyer_rate"": 0.028571}","{""chargeback_rate"": 0.057143, ""dispute_rate"": 0.228571, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 22.587414, ""margin_rate"": 0.045823, ""promo_dependency_rate"": 0.039402}","{""avg_delay_days"": 3.171429, ""cancellation_rate"": 0.228571, ""delayed_order_rate"": 0.771429}","{""gmv_rank_percentile"": 0.89, ""gmv_share"": 0.001519, ""order_share"": 0.000538, ""top_decile_volume"": 0.0}"
S00396,2026-02,"{""cancellation_rate"": 0.107692, ""on_time_rate"": 0.184615, ""refund_rate"": 0.230769, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.076923, ""dispute_rate"": 0.138462, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 19.461417, ""margin_rate"": 0.044836, ""promo_dependency_rate"": 0.025139}","{""avg_delay_days"": 1.8, ""cancellation_rate"": 0.107692, ""delayed_order_rate"": 0.215385}","{""gmv_rank_percentile"": 0.94, ""gmv_share"": 0.002485, ""order_share"": 0.001, ""top_decile_volume"": 1.0}"
S00397,2026-02,"{""cancellation_rate"": 0.05618, ""on_time_rate"": 0.370787, ""refund_rate"": 0.157303, ""repeat_buyer_rate"": 0.033708}","{""chargeback_rate"": 0.078652, ""dispute_rate"": 0.157303, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 9.034462, ""margin_rate"": 0.024734, ""promo_dependency_rate"": 0.042101}","{""avg_delay_days"": 1.573034, ""cancellation_rate"": 0.05618, ""delayed_order_rate"": 0.101124}","{""gmv_rank_percentile"": 0.949167, ""gmv_share"": 0.002863, ""order_share"": 0.001369, ""top_decile_volume"": 1.0}"
S00398,2026-02,"{""cancellation_rate"": 0.0, ""on_time_rate"": 0.428571, ""refund_rate"": 0.0, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.142857, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 2.173539, ""margin_rate"": 0.011569, ""promo_dependency_rate"": 0.02986}","{""avg_delay_days"": 1.714286, ""cancellation_rate"": 0.0, ""delayed_order_rate"": 0.142857}","{""gmv_rank_percentile"": 0.129167, ""gmv_share"": 0.000116, ""order_share"": 0.000108, ""top_decile_volume"": 0.0}"
S00399,2026-02,"{""cancellation_rate"": 0.076923, ""on_time_rate"": 0.205128, ""refund_rate"": 0.128205, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.025641, ""dispute_rate"": 0.128205, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 7.101288, ""margin_rate"": 0.035692, ""promo_dependency_rate"": 0.021995}","{""avg_delay_days"": 1.871795, ""cancellation_rate"": 0.076923, ""delayed_order_rate"": 0.205128}","{""gmv_rank_percentile"": 0.73, ""gmv_share"": 0.000683, ""order_share"": 0.0006, ""top_decile_volume"": 0.0}"
S00400,2026-02,"{""cancellation_rate"": 0.0, ""on_time_rate"": 0.227273, ""refund_rate"": 0.272727, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.090909, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 2.688527, ""margin_rate"": 0.015645, ""promo_dependency_rate"": 0.030844}","{""avg_delay_days"": 2.181818, ""cancellation_rate"": 0.0, ""delayed_order_rate"": 0.363636}","{""gmv_rank_percentile"": 0.460833, ""gmv_share"": 0.000333, ""order_share"": 0.000338, ""top_decile_volume"": 0.0}"
S00401,2026-02,"{""cancellation_rate"": 0.148148, ""on_time_rate"": 0.296296, ""refund_rate"": 0.259259, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.111111, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 1.173505, ""margin_rate"": 0.008196, ""promo_dependency_rate"": 0.052539}","{""avg_delay_days"": 1.481481, ""cancellation_rate"": 0.148148, ""delayed_order_rate"": 0.185185}","{""gmv_rank_percentile"": 0.466667, ""gmv_share"": 0.00034, ""order_share"": 0.000415, ""top_decile_volume"": 0.0}"
S00402,2026-02,"{""cancellation_rate"": 0.076923, ""on_time_rate"": 0.076923, ""refund_rate"": 0.166667, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.0, ""dispute_rate"": 0.153846, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 4.188515, ""margin_rate"": 0.036311, ""promo_dependency_rate"": 0.02345}","{""avg_delay_days"": 2.230769, ""cancellation_rate"": 0.076923, ""delayed_order_rate"": 0.435897}","{""gmv_rank_percentile"": 0.770833, ""gmv_share"": 0.000792, ""order_share"": 0.0012, ""top_decile_volume"": 0.0}"
S00403,2026-02,"{""cancellation_rate"": 0.078947, ""on_time_rate"": 0.0, ""refund_rate"": 0.210526, ""repeat_buyer_rate"": 0.0}","{""chargeback_rate"": 0.026316, ""dispute_rate"": 0.210526, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 5.648991, ""margin_rate"": 0.031485, ""promo_dependency_rate"": 0.036324}","{""avg_delay_days"": 3.947368, ""cancellation_rate"": 0.078947, ""delayed_order_rate"": 0.921053}","{""gmv_rank_percentile"": 0.685833, ""gmv_share"": 0.0006, ""order_share"": 0.000584, ""top_decile_volume"": 0.0}"
S00404,2026-02,"{""cancellation_rate"": 0.175439, ""on_time_rate"": 0.0, ""refund_rate"": 0.22807, ""repeat_buyer_rate"": 0.017544}","{""chargeback_rate"": 0.017544, ""dispute_rate"": 0.192982, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 1.963564, ""margin_rate"": 0.02152, ""promo_dependency_rate"": 0.045245}","{""avg_delay_days"": 3.684211, ""cancellation_rate"": 0.175439, ""delayed_order_rate"": 0.824561}","{""gmv_rank_percentile"": 0.5725, ""gmv_share"": 0.000458, ""order_share"": 0.000877, ""top_decile_volume"": 0.0}"
S00405,2026-02,"{""cancellation_rate"": 0.152542, ""on_time_rate"": 0.338983, ""refund_rate"": 0.152542, ""repeat_buyer_rate"": 0.016949}","{""chargeback_rate"": 0.033898, ""dispute_rate"": 0.186441, ""high_risk_buyer_share"": 0.0}","{""avg_margin_after_risk"": 7.088136, ""margin_rate"": 0.052553, ""promo_dependency_rate"": 0.032087}","{""avg_delay_days"": 1.440678, ""cancellation_rate"": 0.152542, ""delayed_order_rate"": 0.135593}","{""gmv_rank_percentile"": 0.736667, ""gmv_share"": 0.000701, ""order_share"": 0.000907, ""top_decile_volume"": 0.0}"
